IL SUPERMERCATO HA APERTO IL 10-07-2020  ALLE 15:55:24

| ID CLIENTE: 30 | N. PRODOTTI ACQUISTATI: 61 | TEMPO TOT SUPERMERCATO: 1.328 s | TEMPO TOT SPESO IN CODA: 1.262 s | N. CODE VISTE: 1 |
| ID CLIENTE: 41 | N. PRODOTTI ACQUISTATI: 9 | TEMPO TOT SUPERMERCATO: 3.178 s | TEMPO TOT SPESO IN CODA: 2.992 s | N. CODE VISTE: 1 |
| ID CLIENTE: 26 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 3.183 s | TEMPO TOT SPESO IN CODA: 3.060 s | N. CODE VISTE: 1 |
| ID CLIENTE: 5 | N. PRODOTTI ACQUISTATI: 59 | TEMPO TOT SUPERMERCATO: 3.263 s | TEMPO TOT SPESO IN CODA: 3.247 s | N. CODE VISTE: 1 |
| ID CLIENTE: 14 | N. PRODOTTI ACQUISTATI: 95 | TEMPO TOT SUPERMERCATO: 3.401 s | TEMPO TOT SPESO IN CODA: 3.251 s | N. CODE VISTE: 1 |
| ID CLIENTE: 9 | N. PRODOTTI ACQUISTATI: 25 | TEMPO TOT SUPERMERCATO: 3.809 s | TEMPO TOT SPESO IN CODA: 3.789 s | N. CODE VISTE: 1 |
| ID CLIENTE: 40 | N. PRODOTTI ACQUISTATI: 33 | TEMPO TOT SUPERMERCATO: 3.916 s | TEMPO TOT SPESO IN CODA: 3.719 s | N. CODE VISTE: 1 |
| ID CLIENTE: 22 | N. PRODOTTI ACQUISTATI: 55 | TEMPO TOT SUPERMERCATO: 3.918 s | TEMPO TOT SPESO IN CODA: 3.813 s | N. CODE VISTE: 1 |
| ID CLIENTE: 39 | N. PRODOTTI ACQUISTATI: 94 | TEMPO TOT SUPERMERCATO: 1.999 s | TEMPO TOT SPESO IN CODA: 1.960 s | N. CODE VISTE: 1 |
| ID CLIENTE: 38 | N. PRODOTTI ACQUISTATI: 21 | TEMPO TOT SUPERMERCATO: 4.272 s | TEMPO TOT SPESO IN CODA: 4.251 s | N. CODE VISTE: 1 |
| ID CLIENTE: 23 | N. PRODOTTI ACQUISTATI: 17 | TEMPO TOT SUPERMERCATO: 4.658 s | TEMPO TOT SPESO IN CODA: 4.633 s | N. CODE VISTE: 1 |
| ID CLIENTE: 47 | N. PRODOTTI ACQUISTATI: 64 | TEMPO TOT SUPERMERCATO: 4.713 s | TEMPO TOT SPESO IN CODA: 4.543 s | N. CODE VISTE: 1 |
| ID CLIENTE: 35 | N. PRODOTTI ACQUISTATI: 78 | TEMPO TOT SUPERMERCATO: 4.808 s | TEMPO TOT SPESO IN CODA: 4.672 s | N. CODE VISTE: 1 |
| ID CLIENTE: 46 | N. PRODOTTI ACQUISTATI: 74 | TEMPO TOT SUPERMERCATO: 5.433 s | TEMPO TOT SPESO IN CODA: 5.321 s | N. CODE VISTE: 1 |
| ID CLIENTE: 48 | N. PRODOTTI ACQUISTATI: 33 | TEMPO TOT SUPERMERCATO: 5.528 s | TEMPO TOT SPESO IN CODA: 5.384 s | N. CODE VISTE: 1 |
| ID CLIENTE: 15 | N. PRODOTTI ACQUISTATI: 92 | TEMPO TOT SUPERMERCATO: 4.304 s | TEMPO TOT SPESO IN CODA: 4.124 s | N. CODE VISTE: 1 |
| ID CLIENTE: 8 | N. PRODOTTI ACQUISTATI: 85 | TEMPO TOT SUPERMERCATO: 3.104 s | TEMPO TOT SPESO IN CODA: 3.052 s | N. CODE VISTE: 1 |
| ID CLIENTE: 32 | N. PRODOTTI ACQUISTATI: 68 | TEMPO TOT SUPERMERCATO: 6.067 s | TEMPO TOT SPESO IN CODA: 6.029 s | N. CODE VISTE: 1 |
| ID CLIENTE: 36 | N. PRODOTTI ACQUISTATI: 54 | TEMPO TOT SUPERMERCATO: 6.548 s | TEMPO TOT SPESO IN CODA: 6.423 s | N. CODE VISTE: 1 |
| ID CLIENTE: 12 | N. PRODOTTI ACQUISTATI: 95 | TEMPO TOT SUPERMERCATO: 4.620 s | TEMPO TOT SPESO IN CODA: 4.470 s | N. CODE VISTE: 1 |
| ID CLIENTE: 29 | N. PRODOTTI ACQUISTATI: 71 | TEMPO TOT SUPERMERCATO: 7.014 s | TEMPO TOT SPESO IN CODA: 6.815 s | N. CODE VISTE: 1 |
| ID CLIENTE: 26 | N. PRODOTTI ACQUISTATI: 61 | TEMPO TOT SUPERMERCATO: 3.743 s | TEMPO TOT SPESO IN CODA: 3.677 s | N. CODE VISTE: 1 |
| ID CLIENTE: 13 | N. PRODOTTI ACQUISTATI: 35 | TEMPO TOT SUPERMERCATO: 4.585 s | TEMPO TOT SPESO IN CODA: 4.485 s | N. CODE VISTE: 1 |
| ID CLIENTE: 44 | N. PRODOTTI ACQUISTATI: 64 | TEMPO TOT SUPERMERCATO: 4.414 s | TEMPO TOT SPESO IN CODA: 4.244 s | N. CODE VISTE: 1 |
| ID CLIENTE: 41 | N. PRODOTTI ACQUISTATI: 3 | TEMPO TOT SUPERMERCATO: 4.209 s | TEMPO TOT SPESO IN CODA: 4.072 s | N. CODE VISTE: 1 |
| ID CLIENTE: 49 | N. PRODOTTI ACQUISTATI: 70 | TEMPO TOT SUPERMERCATO: 7.985 s | TEMPO TOT SPESO IN CODA: 7.844 s | N. CODE VISTE: 1 |
| ID CLIENTE: 5 | N. PRODOTTI ACQUISTATI: 25 | TEMPO TOT SUPERMERCATO: 4.535 s | TEMPO TOT SPESO IN CODA: 4.515 s | N. CODE VISTE: 1 |
| ID CLIENTE: 42 | N. PRODOTTI ACQUISTATI: 94 | TEMPO TOT SUPERMERCATO: 8.000 s | TEMPO TOT SPESO IN CODA: 7.961 s | N. CODE VISTE: 1 |
| ID CLIENTE: 9 | N. PRODOTTI ACQUISTATI: 11 | TEMPO TOT SUPERMERCATO: 4.163 s | TEMPO TOT SPESO IN CODA: 4.056 s | N. CODE VISTE: 1 |
| ID CLIENTE: 50 | N. PRODOTTI ACQUISTATI: 60 | TEMPO TOT SUPERMERCATO: 8.277 s | TEMPO TOT SPESO IN CODA: 8.078 s | N. CODE VISTE: 1 |
| ID CLIENTE: 40 | N. PRODOTTI ACQUISTATI: 3 | TEMPO TOT SUPERMERCATO: 4.144 s | TEMPO TOT SPESO IN CODA: 4.007 s | N. CODE VISTE: 1 |
| ID CLIENTE: 47 | N. PRODOTTI ACQUISTATI: 13 | TEMPO TOT SUPERMERCATO: 3.673 s | TEMPO TOT SPESO IN CODA: 3.647 s | N. CODE VISTE: 1 |
| ID CLIENTE: 46 | N. PRODOTTI ACQUISTATI: 13 | TEMPO TOT SUPERMERCATO: 3.072 s | TEMPO TOT SPESO IN CODA: 3.046 s | N. CODE VISTE: 1 |
| ID CLIENTE: 7 | N. PRODOTTI ACQUISTATI: 85 | TEMPO TOT SUPERMERCATO: 6.029 s | TEMPO TOT SPESO IN CODA: 5.977 s | N. CODE VISTE: 1 |
| ID CLIENTE: 18 | N. PRODOTTI ACQUISTATI: 67 | TEMPO TOT SUPERMERCATO: 9.363 s | TEMPO TOT SPESO IN CODA: 9.195 s | N. CODE VISTE: 1 |
| ID CLIENTE: 2 | N. PRODOTTI ACQUISTATI: 59 | TEMPO TOT SUPERMERCATO: 6.741 s | TEMPO TOT SPESO IN CODA: 6.725 s | N. CODE VISTE: 1 |
| ID CLIENTE: 11 | N. PRODOTTI ACQUISTATI: 85 | TEMPO TOT SUPERMERCATO: 9.755 s | TEMPO TOT SPESO IN CODA: 9.703 s | N. CODE VISTE: 1 |
| ID CLIENTE: 48 | N. PRODOTTI ACQUISTATI: 46 | TEMPO TOT SUPERMERCATO: 3.998 s | TEMPO TOT SPESO IN CODA: 3.903 s | N. CODE VISTE: 1 |
| ID CLIENTE: 21 | N. PRODOTTI ACQUISTATI: 10 | TEMPO TOT SUPERMERCATO: 9.998 s | TEMPO TOT SPESO IN CODA: 9.945 s | N. CODE VISTE: 1 |
| ID CLIENTE: 37 | N. PRODOTTI ACQUISTATI: 37 | TEMPO TOT SUPERMERCATO: 10.135 s | TEMPO TOT SPESO IN CODA: 9.967 s | N. CODE VISTE: 1 |
| ID CLIENTE: 14 | N. PRODOTTI ACQUISTATI: 67 | TEMPO TOT SUPERMERCATO: 6.680 s | TEMPO TOT SPESO IN CODA: 6.512 s | N. CODE VISTE: 1 |
| ID CLIENTE: 38 | N. PRODOTTI ACQUISTATI: 78 | TEMPO TOT SUPERMERCATO: 6.544 s | TEMPO TOT SPESO IN CODA: 6.461 s | N. CODE VISTE: 1 |
| ID CLIENTE: 8 | N. PRODOTTI ACQUISTATI: 65 | TEMPO TOT SUPERMERCATO: 4.650 s | TEMPO TOT SPESO IN CODA: 4.525 s | N. CODE VISTE: 1 |
| ID CLIENTE: 1 | N. PRODOTTI ACQUISTATI: 65 | TEMPO TOT SUPERMERCATO: 11.350 s | TEMPO TOT SPESO IN CODA: 11.285 s | N. CODE VISTE: 1 |
| ID CLIENTE: 7 | N. PRODOTTI ACQUISTATI: 92 | TEMPO TOT SUPERMERCATO: 2.104 s | TEMPO TOT SPESO IN CODA: 1.924 s | N. CODE VISTE: 1 |
| ID CLIENTE: 44 | N. PRODOTTI ACQUISTATI: 13 | TEMPO TOT SUPERMERCATO: 3.964 s | TEMPO TOT SPESO IN CODA: 3.938 s | N. CODE VISTE: 1 |
| ID CLIENTE: 30 | N. PRODOTTI ACQUISTATI: 68 | TEMPO TOT SUPERMERCATO: 10.035 s | TEMPO TOT SPESO IN CODA: 9.997 s | N. CODE VISTE: 1 |
| ID CLIENTE: 5 | N. PRODOTTI ACQUISTATI: 11 | TEMPO TOT SUPERMERCATO: 3.647 s | TEMPO TOT SPESO IN CODA: 3.540 s | N. CODE VISTE: 1 |
| ID CLIENTE: 23 | N. PRODOTTI ACQUISTATI: 82 | TEMPO TOT SUPERMERCATO: 7.512 s | TEMPO TOT SPESO IN CODA: 7.370 s | N. CODE VISTE: 1 |
| ID CLIENTE: 36 | N. PRODOTTI ACQUISTATI: 78 | TEMPO TOT SUPERMERCATO: 6.089 s | TEMPO TOT SPESO IN CODA: 6.006 s | N. CODE VISTE: 1 |
| ID CLIENTE: 31 | N. PRODOTTI ACQUISTATI: 98 | TEMPO TOT SUPERMERCATO: 13.361 s | TEMPO TOT SPESO IN CODA: 13.298 s | N. CODE VISTE: 1 |
| ID CLIENTE: 28 | N. PRODOTTI ACQUISTATI: 98 | TEMPO TOT SUPERMERCATO: 11.351 s | TEMPO TOT SPESO IN CODA: 11.288 s | N. CODE VISTE: 1 |
| ID CLIENTE: 50 | N. PRODOTTI ACQUISTATI: 96 | TEMPO TOT SUPERMERCATO: 5.155 s | TEMPO TOT SPESO IN CODA: 5.013 s | N. CODE VISTE: 1 |
| ID CLIENTE: 9 | N. PRODOTTI ACQUISTATI: 67 | TEMPO TOT SUPERMERCATO: 5.374 s | TEMPO TOT SPESO IN CODA: 5.206 s | N. CODE VISTE: 1 |
| ID CLIENTE: 39 | N. PRODOTTI ACQUISTATI: 19 | TEMPO TOT SUPERMERCATO: 9.437 s | TEMPO TOT SPESO IN CODA: 9.344 s | N. CODE VISTE: 1 |
| ID CLIENTE: 20 | N. PRODOTTI ACQUISTATI: 35 | TEMPO TOT SUPERMERCATO: 14.114 s | TEMPO TOT SPESO IN CODA: 14.049 s | N. CODE VISTE: 1 |
| ID CLIENTE: 15 | N. PRODOTTI ACQUISTATI: 10 | TEMPO TOT SUPERMERCATO: 8.219 s | TEMPO TOT SPESO IN CODA: 8.166 s | N. CODE VISTE: 1 |
| ID CLIENTE: 41 | N. PRODOTTI ACQUISTATI: 70 | TEMPO TOT SUPERMERCATO: 6.695 s | TEMPO TOT SPESO IN CODA: 6.554 s | N. CODE VISTE: 1 |
| ID CASSA: 3 | N. PROD. ELAB.: 669 | N. Clienti: 12 | TEMPO TOT: 14.064 s | TEMPO MEDIO: 1.172 s | N. CHIUSURE: 2 |
| ID CLIENTE: 34 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 14.706 s | TEMPO TOT SPESO IN CODA: 14.636 s | N. CODE VISTE: 1 |
| ID CLIENTE: 10 | N. PRODOTTI ACQUISTATI: 14 | TEMPO TOT SUPERMERCATO: 15.036 s | TEMPO TOT SPESO IN CODA: 14.959 s | N. CODE VISTE: 1 |
| ID CLIENTE: 3 | N. PRODOTTI ACQUISTATI: 18 | TEMPO TOT SUPERMERCATO: 15.447 s | TEMPO TOT SPESO IN CODA: 15.364 s | N. CODE VISTE: 1 |
| ID CLIENTE: 46 | N. PRODOTTI ACQUISTATI: 86 | TEMPO TOT SUPERMERCATO: 6.306 s | TEMPO TOT SPESO IN CODA: 6.262 s | N. CODE VISTE: 1 |
| ID CLIENTE: 48 | N. PRODOTTI ACQUISTATI: 96 | TEMPO TOT SUPERMERCATO: 5.538 s | TEMPO TOT SPESO IN CODA: 5.396 s | N. CODE VISTE: 1 |
| ID CLIENTE: 31 | N. PRODOTTI ACQUISTATI: 3 | TEMPO TOT SUPERMERCATO: 2.029 s | TEMPO TOT SPESO IN CODA: 1.892 s | N. CODE VISTE: 1 |
| ID CLIENTE: 9 | N. PRODOTTI ACQUISTATI: 7 | TEMPO TOT SUPERMERCATO: 1.795 s | TEMPO TOT SPESO IN CODA: 1.712 s | N. CODE VISTE: 1 |
| ID CLIENTE: 32 | N. PRODOTTI ACQUISTATI: 98 | TEMPO TOT SUPERMERCATO: 9.528 s | TEMPO TOT SPESO IN CODA: 9.518 s | N. CODE VISTE: 1 |
| ID CLIENTE: 29 | N. PRODOTTI ACQUISTATI: 37 | TEMPO TOT SUPERMERCATO: 9.782 s | TEMPO TOT SPESO IN CODA: 9.614 s | N. CODE VISTE: 1 |
| ID CLIENTE: 43 | N. PRODOTTI ACQUISTATI: 78 | TEMPO TOT SUPERMERCATO: 17.076 s | TEMPO TOT SPESO IN CODA: 16.993 s | N. CODE VISTE: 1 |
| ID CLIENTE: 13 | N. PRODOTTI ACQUISTATI: 10 | TEMPO TOT SUPERMERCATO: 9.751 s | TEMPO TOT SPESO IN CODA: 9.698 s | N. CODE VISTE: 1 |
| ID CLIENTE: 18 | N. PRODOTTI ACQUISTATI: 82 | TEMPO TOT SUPERMERCATO: 7.560 s | TEMPO TOT SPESO IN CODA: 7.418 s | N. CODE VISTE: 1 |
| ID CLIENTE: 2 | N. PRODOTTI ACQUISTATI: 69 | TEMPO TOT SUPERMERCATO: 3.213 s | TEMPO TOT SPESO IN CODA: 3.117 s | N. CODE VISTE: 2 |
| ID CLIENTE: 11 | N. PRODOTTI ACQUISTATI: 10 | TEMPO TOT SUPERMERCATO: 7.462 s | TEMPO TOT SPESO IN CODA: 7.409 s | N. CODE VISTE: 1 |
| ID CLIENTE: 37 | N. PRODOTTI ACQUISTATI: 33 | TEMPO TOT SUPERMERCATO: 7.744 s | TEMPO TOT SPESO IN CODA: 7.600 s | N. CODE VISTE: 1 |
| ID CLIENTE: 33 | N. PRODOTTI ACQUISTATI: 57 | TEMPO TOT SUPERMERCATO: 18.277 s | TEMPO TOT SPESO IN CODA: 18.182 s | N. CODE VISTE: 1 |
| ID CLIENTE: 21 | N. PRODOTTI ACQUISTATI: 68 | TEMPO TOT SUPERMERCATO: 8.590 s | TEMPO TOT SPESO IN CODA: 8.552 s | N. CODE VISTE: 1 |
| ID CLIENTE: 30 | N. PRODOTTI ACQUISTATI: 78 | TEMPO TOT SUPERMERCATO: 4.814 s | TEMPO TOT SPESO IN CODA: 4.731 s | N. CODE VISTE: 2 |
| ID CLIENTE: 44 | N. PRODOTTI ACQUISTATI: 86 | TEMPO TOT SUPERMERCATO: 7.995 s | TEMPO TOT SPESO IN CODA: 7.951 s | N. CODE VISTE: 1 |
| ID CLIENTE: 39 | N. PRODOTTI ACQUISTATI: 46 | TEMPO TOT SUPERMERCATO: 5.718 s | TEMPO TOT SPESO IN CODA: 5.623 s | N. CODE VISTE: 1 |
| ID CLIENTE: 25 | N. PRODOTTI ACQUISTATI: 85 | TEMPO TOT SUPERMERCATO: 20.050 s | TEMPO TOT SPESO IN CODA: 19.938 s | N. CODE VISTE: 1 |
| ID CLIENTE: 36 | N. PRODOTTI ACQUISTATI: 60 | TEMPO TOT SUPERMERCATO: 6.585 s | TEMPO TOT SPESO IN CODA: 6.386 s | N. CODE VISTE: 1 |
| ID CLIENTE: 45 | N. PRODOTTI ACQUISTATI: 3 | TEMPO TOT SUPERMERCATO: 20.152 s | TEMPO TOT SPESO IN CODA: 20.015 s | N. CODE VISTE: 1 |
| ID CLIENTE: 29 | N. PRODOTTI ACQUISTATI: 64 | TEMPO TOT SUPERMERCATO: 4.013 s | TEMPO TOT SPESO IN CODA: 3.843 s | N. CODE VISTE: 1 |
| ID CLIENTE: 5 | N. PRODOTTI ACQUISTATI: 67 | TEMPO TOT SUPERMERCATO: 8.923 s | TEMPO TOT SPESO IN CODA: 8.755 s | N. CODE VISTE: 1 |
| ID CLIENTE: 40 | N. PRODOTTI ACQUISTATI: 70 | TEMPO TOT SUPERMERCATO: 7.468 s | TEMPO TOT SPESO IN CODA: 7.327 s | N. CODE VISTE: 2 |
| ID CLIENTE: 4 | N. PRODOTTI ACQUISTATI: 75 | TEMPO TOT SUPERMERCATO: 21.727 s | TEMPO TOT SPESO IN CODA: 21.564 s | N. CODE VISTE: 1 |
| ID CLIENTE: 43 | N. PRODOTTI ACQUISTATI: 50 | TEMPO TOT SUPERMERCATO: 4.888 s | TEMPO TOT SPESO IN CODA: 4.727 s | N. CODE VISTE: 1 |
| ID CLIENTE: 6 | N. PRODOTTI ACQUISTATI: 28 | TEMPO TOT SUPERMERCATO: 22.342 s | TEMPO TOT SPESO IN CODA: 22.161 s | N. CODE VISTE: 1 |
| ID CLIENTE: 23 | N. PRODOTTI ACQUISTATI: 54 | TEMPO TOT SUPERMERCATO: 9.930 s | TEMPO TOT SPESO IN CODA: 9.805 s | N. CODE VISTE: 1 |
| ID CLIENTE: 47 | N. PRODOTTI ACQUISTATI: 70 | TEMPO TOT SUPERMERCATO: 8.868 s | TEMPO TOT SPESO IN CODA: 8.780 s | N. CODE VISTE: 2 |
| ID CLIENTE: 17 | N. PRODOTTI ACQUISTATI: 92 | TEMPO TOT SUPERMERCATO: 24.256 s | TEMPO TOT SPESO IN CODA: 24.076 s | N. CODE VISTE: 1 |
| ID CLIENTE: 38 | N. PRODOTTI ACQUISTATI: 60 | TEMPO TOT SUPERMERCATO: 10.230 s | TEMPO TOT SPESO IN CODA: 10.031 s | N. CODE VISTE: 2 |
| ID CLIENTE: 13 | N. PRODOTTI ACQUISTATI: 98 | TEMPO TOT SUPERMERCATO: 6.752 s | TEMPO TOT SPESO IN CODA: 6.689 s | N. CODE VISTE: 1 |
| ID CLIENTE: 28 | N. PRODOTTI ACQUISTATI: 94 | TEMPO TOT SUPERMERCATO: 10.625 s | TEMPO TOT SPESO IN CODA: 10.586 s | N. CODE VISTE: 1 |
| ID CLIENTE: 1 | N. PRODOTTI ACQUISTATI: 11 | TEMPO TOT SUPERMERCATO: 10.391 s | TEMPO TOT SPESO IN CODA: 10.284 s | N. CODE VISTE: 2 |
| ID CLIENTE: 33 | N. PRODOTTI ACQUISTATI: 13 | TEMPO TOT SUPERMERCATO: 5.653 s | TEMPO TOT SPESO IN CODA: 5.627 s | N. CODE VISTE: 1 |
| ID CLIENTE: 27 | N. PRODOTTI ACQUISTATI: 17 | TEMPO TOT SUPERMERCATO: 24.646 s | TEMPO TOT SPESO IN CODA: 24.465 s | N. CODE VISTE: 1 |
| ID CLIENTE: 50 | N. PRODOTTI ACQUISTATI: 46 | TEMPO TOT SUPERMERCATO: 11.560 s | TEMPO TOT SPESO IN CODA: 11.370 s | N. CODE VISTE: 1 |
| ID CLIENTE: 19 | N. PRODOTTI ACQUISTATI: 45 | TEMPO TOT SUPERMERCATO: 25.606 s | TEMPO TOT SPESO IN CODA: 25.408 s | N. CODE VISTE: 1 |
| ID CLIENTE: 15 | N. PRODOTTI ACQUISTATI: 61 | TEMPO TOT SUPERMERCATO: 11.348 s | TEMPO TOT SPESO IN CODA: 11.282 s | N. CODE VISTE: 1 |
| ID CLIENTE: 46 | N. PRODOTTI ACQUISTATI: 6 | TEMPO TOT SUPERMERCATO: 9.984 s | TEMPO TOT SPESO IN CODA: 9.934 s | N. CODE VISTE: 1 |
| ID CLIENTE: 6 | N. PRODOTTI ACQUISTATI: 71 | TEMPO TOT SUPERMERCATO: 3.565 s | TEMPO TOT SPESO IN CODA: 3.366 s | N. CODE VISTE: 1 |
| ID CLIENTE: 24 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 24.485 s | TEMPO TOT SPESO IN CODA: 24.362 s | N. CODE VISTE: 1 |
| ID CLIENTE: 13 | N. PRODOTTI ACQUISTATI: 21 | TEMPO TOT SUPERMERCATO: 1.990 s | TEMPO TOT SPESO IN CODA: 1.969 s | N. CODE VISTE: 1 |
| ID CASSA: 6 | N. PROD. ELAB.: 1269 | N. Clienti: 28 | TEMPO TOT: 26.136 s | TEMPO MEDIO: 0.933 s | N. CHIUSURE: 1 |
| ID CLIENTE: 2 | N. PRODOTTI ACQUISTATI: 35 | TEMPO TOT SUPERMERCATO: 8.604 s | TEMPO TOT SPESO IN CODA: 8.539 s | N. CODE VISTE: 1 |
| ID CLIENTE: 16 | N. PRODOTTI ACQUISTATI: 45 | TEMPO TOT SUPERMERCATO: 24.535 s | TEMPO TOT SPESO IN CODA: 24.337 s | N. CODE VISTE: 1 |
| ID CLIENTE: 20 | N. PRODOTTI ACQUISTATI: 78 | TEMPO TOT SUPERMERCATO: 12.859 s | TEMPO TOT SPESO IN CODA: 12.723 s | N. CODE VISTE: 1 |
| ID CLIENTE: 22 | N. PRODOTTI ACQUISTATI: 17 | TEMPO TOT SUPERMERCATO: 23.134 s | TEMPO TOT SPESO IN CODA: 22.953 s | N. CODE VISTE: 1 |
| ID CLIENTE: 11 | N. PRODOTTI ACQUISTATI: 61 | TEMPO TOT SUPERMERCATO: 9.781 s | TEMPO TOT SPESO IN CODA: 9.715 s | N. CODE VISTE: 1 |
| ID CLIENTE: 35 | N. PRODOTTI ACQUISTATI: 33 | TEMPO TOT SUPERMERCATO: 23.156 s | TEMPO TOT SPESO IN CODA: 22.959 s | N. CODE VISTE: 1 |
| ID CLIENTE: 12 | N. PRODOTTI ACQUISTATI: 35 | TEMPO TOT SUPERMERCATO: 21.702 s | TEMPO TOT SPESO IN CODA: 21.637 s | N. CODE VISTE: 1 |
| ID CLIENTE: 41 | N. PRODOTTI ACQUISTATI: 86 | TEMPO TOT SUPERMERCATO: 14.399 s | TEMPO TOT SPESO IN CODA: 14.355 s | N. CODE VISTE: 1 |
| ID CLIENTE: 26 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 22.016 s | TEMPO TOT SPESO IN CODA: 21.946 s | N. CODE VISTE: 1 |
| ID CLIENTE: 10 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 13.819 s | TEMPO TOT SPESO IN CODA: 13.696 s | N. CODE VISTE: 1 |
| ID CLIENTE: 39 | N. PRODOTTI ACQUISTATI: 80 | TEMPO TOT SUPERMERCATO: 9.285 s | TEMPO TOT SPESO IN CODA: 9.099 s | N. CODE VISTE: 1 |
| ID CLIENTE: 14 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 18.740 s | TEMPO TOT SPESO IN CODA: 18.617 s | N. CODE VISTE: 1 |
| ID CLIENTE: 3 | N. PRODOTTI ACQUISTATI: 45 | TEMPO TOT SUPERMERCATO: 14.612 s | TEMPO TOT SPESO IN CODA: 14.414 s | N. CODE VISTE: 1 |
| ID CLIENTE: 8 | N. PRODOTTI ACQUISTATI: 35 | TEMPO TOT SUPERMERCATO: 19.132 s | TEMPO TOT SPESO IN CODA: 19.067 s | N. CODE VISTE: 1 |
| ID CLIENTE: 25 | N. PRODOTTI ACQUISTATI: 74 | TEMPO TOT SUPERMERCATO: 10.602 s | TEMPO TOT SPESO IN CODA: 10.490 s | N. CODE VISTE: 1 |
| ID CLIENTE: 48 | N. PRODOTTI ACQUISTATI: 46 | TEMPO TOT SUPERMERCATO: 15.295 s | TEMPO TOT SPESO IN CODA: 15.105 s | N. CODE VISTE: 1 |
| ID CLIENTE: 7 | N. PRODOTTI ACQUISTATI: 45 | TEMPO TOT SUPERMERCATO: 19.871 s | TEMPO TOT SPESO IN CODA: 19.673 s | N. CODE VISTE: 1 |
| ID CLIENTE: 9 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 14.870 s | TEMPO TOT SPESO IN CODA: 14.747 s | N. CODE VISTE: 1 |
| ID CLIENTE: 45 | N. PRODOTTI ACQUISTATI: 62 | TEMPO TOT SUPERMERCATO: 10.863 s | TEMPO TOT SPESO IN CODA: 10.752 s | N. CODE VISTE: 1 |
| ID CLIENTE: 40 | N. PRODOTTI ACQUISTATI: 6 | TEMPO TOT SUPERMERCATO: 10.498 s | TEMPO TOT SPESO IN CODA: 10.448 s | N. CODE VISTE: 1 |
| ID CLIENTE: 49 | N. PRODOTTI ACQUISTATI: 70 | TEMPO TOT SUPERMERCATO: 18.824 s | TEMPO TOT SPESO IN CODA: 18.736 s | N. CODE VISTE: 2 |
